	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0000617"	58.13	58.84	49.94	63.72	57.51	66.26	72.94	86.26	73.42	61.75	74.21	66.54	77.42	78.85	62.36
"FBgn0000618"	151.20	125.38	95.11	134.08	121.89	129.20	138.78	201.07	162.30	167.47	201.76	172.36	161.92	170.78	115.74
"FBgn0000625"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00
"FBgn0000629"	17.15	18.55	16.47	24.84	23.59	24.41	0.48	0.34	0.70	13.57	11.40	12.07	10.39	15.63	13.76
"FBgn0000633"	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.01	0.00	0.00	0.01
"FBgn0000635"	0.15	0.18	0.17	0.21	0.22	0.19	0.58	0.30	0.45	0.23	0.06	0.13	0.10	0.16	0.14
"FBgn0000636"	0.00	0.00	0.02	0.02	0.02	0.00	0.04	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.04
"FBgn0000639"	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000640"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000644"	0.09	0.00	0.23	0.00	0.00	0.00	0.09	0.00	0.09	0.08	0.25	0.15	0.00	0.09	0.00
"FBgn0000658"	0.00	0.03	0.02	0.00	0.01	0.08	0.00	0.00	0.00	0.02	0.00	0.05	0.00	0.04	0.00
"FBgn0000659"	0.02	0.00	0.00	0.02	0.06	0.07	0.04	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000662"	63.57	69.58	77.09	76.24	80.47	77.54	108.02	86.00	97.40	66.53	62.69	55.99	58.28	48.03	71.69
"FBgn0000667"	38.87	45.61	48.60	52.38	53.72	54.36	33.91	23.91	33.01	31.17	33.60	34.80	36.99	37.27	46.50
"FBgn0000709"	17.66	25.15	30.03	18.93	21.36	19.22	16.11	11.31	16.69	14.47	13.98	15.67	16.58	18.60	25.94
"FBgn0000711"	30.63	34.51	39.25	34.55	36.07	32.82	63.59	49.99	57.08	34.50	26.57	29.01	29.63	23.14	40.05
"FBgn0000715"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000719"	18.80	24.66	25.92	22.21	24.31	21.07	16.24	9.76	12.19	15.33	12.85	13.57	14.01	13.47	17.72
"FBgn0000721"	90.49	119.22	136.06	79.05	91.99	80.46	219.25	157.05	195.07	73.58	67.48	71.75	76.88	69.43	125.97
"FBgn0000723"	0.03	0.00	0.02	0.02	0.07	0.05	0.03	0.04	0.09	0.00	0.02	0.07	0.03	0.06	0.09
"FBgn0000808"	13.20	12.73	12.77	15.09	13.71	16.20	5.80	5.14	6.50	14.43	18.46	15.17	13.91	12.35	12.56
"FBgn0000810"	20.73	21.94	26.39	25.62	27.32	27.34	30.70	27.18	30.23	16.94	14.43	13.95	12.69	10.20	18.65
"FBgn0000826"	52.23	42.91	43.69	67.24	62.91	72.32	5.58	6.42	7.09	50.86	65.79	53.62	89.40	88.64	64.61
"FBgn0000927"	56.10	58.93	59.17	66.81	66.41	75.15	2.50	2.01	2.91	45.66	50.54	46.01	60.67	78.44	53.27
"FBgn0000928"	0.21	0.15	0.16	0.05	0.20	0.05	0.66	0.62	0.59	0.19	0.16	0.07	0.06	0.06	0.21
"FBgn0000964"	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0000996"	122.61	137.58	155.81	169.37	176.11	181.08	227.31	177.87	220.36	124.21	113.34	122.48	132.35	102.62	179.00
"FBgn0001075"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0001077"	0.17	0.03	0.22	0.40	0.33	1.13	0.43	0.31	0.09	0.04	0.12	0.11	0.20	0.00	0.17
"FBgn0001078"	24.39	39.88	47.16	18.76	22.29	15.84	51.08	36.69	47.57	17.24	14.16	14.55	18.31	24.63	40.03
"FBgn0001079"	19.57	23.78	28.87	21.89	22.84	21.56	36.16	26.42	32.71	19.27	18.17	17.58	21.19	15.89	29.71
"FBgn0001083"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
"FBgn0001084"	27.43	21.75	23.38	30.37	28.96	31.64	15.97	16.75	17.55	24.59	27.10	27.23	28.49	25.93	25.68
"FBgn0001085"	39.60	47.23	44.09	33.26	36.58	30.66	69.64	59.12	65.10	36.80	33.06	35.28	34.02	25.75	49.11
"FBgn0001086"	148.68	146.44	173.06	170.23	160.10	175.65	287.83	235.70	261.00	149.84	155.81	148.76	134.53	90.29	166.31
"FBgn0001087"	31.49	37.72	44.70	35.24	36.27	34.96	37.94	28.45	36.84	24.80	24.99	26.66	27.56	24.28	41.46
"FBgn0001089"	0.00	0.05	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0001090"	0.07	0.06	0.18	0.61	0.38	1.87	0.16	0.55	0.20	0.04	0.08	0.08	0.00	0.00	0.00
"FBgn0001091"	570.00	503.57	480.91	560.36	523.33	587.73	102.30	90.38	99.64	658.09	731.72	665.19	768.22	777.95	489.19
"FBgn0001092"	890.72	790.67	651.49	1090.71	1000.69	1138.65	40.18	44.62	43.10	873.85	791.49	773.32	1045.32	1383.47	790.15
"FBgn0001098"	109.89	131.48	155.10	130.55	133.97	137.03	185.80	163.59	187.14	96.28	100.56	105.50	109.33	97.62	124.50
"FBgn0001099"	71.38	55.89	50.23	68.36	65.44	68.03	68.95	84.96	68.44	75.59	74.53	74.51	60.85	57.19	58.05
"FBgn0001104"	165.22	147.90	156.67	168.54	166.96	171.93	237.26	232.91	223.47	159.75	152.45	138.95	152.29	109.38	208.11
"FBgn0001105"	189.17	187.77	188.25	197.94	203.45	192.41	263.19	250.42	249.15	192.87	183.49	204.97	200.96	190.96	232.28
"FBgn0001108"	28.02	32.52	37.64	29.33	30.17	27.81	8.57	5.42	8.67	21.20	19.91	23.31	24.28	29.47	36.46
"FBgn0001112"	0.00	0.00	0.02	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00
"FBgn0001114"	0.00	0.00	0.04	0.02	0.00	0.00	0.00	0.02	0.09	0.00	0.00	0.00	0.02	0.00	0.01
"FBgn0001120"	832.82	695.28	584.62	857.02	786.57	852.33	120.37	102.82	120.93	959.88	965.42	947.73	1027.82	1082.22	763.26
"FBgn0001122"	25.14	33.36	33.18	23.00	24.56	21.02	58.40	50.51	49.52	22.85	18.17	20.98	20.41	16.22	34.72
"FBgn0001123"	2.36	1.87	1.92	2.92	3.59	4.29	2.92	3.31	2.69	4.60	2.48	2.31	1.42	1.14	1.89
"FBgn0001124"	193.96	173.61	163.20	226.93	223.29	231.73	233.93	239.76	222.73	240.06	233.85	227.67	219.08	203.74	198.55
"FBgn0001125"	89.13	88.60	82.96	123.71	108.36	129.26	4.41	5.53	5.19	73.29	74.96	70.51	85.19	117.90	77.41
"FBgn0001128"	255.35	230.53	207.74	305.54	292.42	300.23	151.72	164.25	156.75	272.65	286.47	291.30	277.45	283.55	232.08
"FBgn0001133"	42.94	39.10	42.51	49.63	48.91	52.21	51.80	57.97	55.46	43.79	47.72	47.30	47.67	40.94	50.06
"FBgn0001134"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0001137"	13.86	13.83	13.00	13.17	12.91	12.49	21.62	26.13	22.63	15.03	15.52	15.43	18.32	18.55	17.74
"FBgn0001138"	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.02	0.00
"FBgn0001139"	82.79	99.77	113.74	78.42	86.45	73.36	163.02	124.09	144.18	80.18	77.35	76.93	80.81	65.34	98.52
"FBgn0001142"	274.05	271.54	269.92	336.52	318.06	335.82	217.50	215.16	214.02	286.25	292.13	294.84	225.83	230.08	212.86
"FBgn0001145"	0.05	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.04	0.00	0.04	0.00	0.05	0.00
"FBgn0001147"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0001148"	0.00	0.00	0.00	0.00	0.00	0.12	0.05	0.00	0.00	0.04	0.00	0.04	0.00	0.00	0.00
"FBgn0001149"	711.97	593.61	499.56	1023.38	913.82	1110.54	33.08	40.34	38.13	395.81	431.71	373.00	858.10	1177.69	742.67
"FBgn0001150"	0.21	0.10	0.37	0.46	0.73	1.87	0.81	1.12	0.83	0.08	0.25	0.34	0.35	0.17	0.14
"FBgn0001168"	0.10	0.20	0.19	0.05	0.35	0.81	0.13	0.23	0.14	0.09	0.20	0.00	0.29	0.03	0.19
"FBgn0001169"	18.07	29.46	38.82	13.18	15.36	10.19	44.39	30.29	42.32	12.03	11.44	12.61	13.68	16.06	26.39
"FBgn0001170"	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0001174"	7.41	5.42	3.59	22.58	21.05	52.92	9.15	7.71	5.30	7.14	7.73	7.59	11.82	4.00	8.18
"FBgn0001179"	26.40	30.61	31.56	33.16	33.28	35.31	25.40	20.48	23.75	24.18	28.63	29.72	27.58	27.48	31.82
"FBgn0001180"	41.93	53.58	57.17	39.64	40.31	38.82	0.42	0.43	0.38	29.59	24.86	31.56	34.91	39.23	52.48
"FBgn0001185"	33.27	35.05	31.69	27.92	26.22	26.93	31.39	31.70	30.37	30.48	27.79	25.28	24.67	26.28	30.16
"FBgn0001186"	62.30	74.17	78.63	65.83	67.88	63.00	30.75	21.27	30.16	53.91	52.67	59.10	56.07	67.73	71.26
"FBgn0001187"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00
"FBgn0001189"	16.74	18.13	19.88	20.07	20.02	20.84	15.01	10.02	12.96	16.28	17.02	17.20	14.05	11.12	18.78
"FBgn0001197"	1818.71	1787.36	1541.28	2026.90	1972.33	2051.05	2419.63	2789.38	2349.59	2263.63	2297.67	1932.11	1880.45	1729.24	1669.98
"FBgn0001202"	37.27	38.08	38.81	40.74	42.51	40.36	67.12	59.24	59.27	43.58	38.16	41.23	44.05	34.60	47.48
"FBgn0001206"	18.54	24.79	31.96	19.23	21.27	18.47	45.21	28.64	42.63	12.72	12.51	14.27	14.69	13.36	24.11
"FBgn0001208"	0.05	0.12	0.09	0.12	0.22	0.25	0.00	0.00	0.00	0.23	0.15	0.27	0.05	0.00	0.00
"FBgn0001215"	185.11	246.82	269.38	209.20	220.37	223.47	419.70	403.75	377.32	162.36	140.72	131.99	138.23	144.34	248.03
"FBgn0001216"	0.03	0.03	0.08	0.05	0.08	0.02	0.03	0.06	0.03	0.05	0.11	0.06	0.03	0.06	0.02
"FBgn0001217"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0001218"	374.13	419.85	448.21	363.57	374.74	349.56	260.91	180.46	254.07	299.01	317.87	359.74	310.27	299.85	405.47
"FBgn0001220"	108.63	107.85	111.78	138.46	133.95	137.38	10.63	7.13	11.58	82.11	88.72	98.84	100.21	110.35	113.06
"FBgn0001222"	83.28	90.00	94.61	105.66	111.04	102.87	24.73	16.47	21.97	69.37	64.54	76.94	84.29	91.59	102.20
"FBgn0001223"	95.83	77.12	70.79	59.64	59.10	59.62	97.07	119.93	101.34	127.33	120.35	105.35	95.47	90.24	66.01
"FBgn0001224"	178.32	136.69	129.54	115.48	104.73	118.47	281.62	274.31	253.55	181.51	239.22	237.74	149.39	141.21	114.50
"FBgn0001225"	1738.59	1482.62	1210.14	1738.62	1634.75	1800.32	95.89	88.36	92.04	1851.40	2091.47	1754.78	1931.32	2256.92	1345.26
"FBgn0001226"	1054.64	1020.51	891.10	1274.84	1221.35	1302.90	137.72	114.02	147.46	1043.23	1267.02	1318.65	1238.86	1335.34	911.09
"FBgn0001227"	0.79	0.57	0.38	0.72	0.75	0.51	1.10	1.42	1.17	0.56	1.27	1.00	0.61	0.26	0.44
"FBgn0001228"	0.39	0.45	0.18	0.28	0.09	0.35	0.17	0.20	0.23	0.52	0.57	0.39	0.72	0.70	0.40
"FBgn0001229"	0.34	0.48	0.00	0.26	0.30	0.07	0.17	0.00	0.17	0.39	0.08	0.00	0.08	0.41	0.23
"FBgn0001230"	1.06	1.11	1.28	1.63	1.86	2.11	0.63	0.52	0.88	1.70	1.19	1.13	1.07	0.49	0.62
"FBgn0001233"	1405.42	1459.15	1559.72	1531.84	1560.06	1559.82	107.40	58.05	102.45	1365.54	1065.99	1180.06	1364.04	1588.64	1576.29
"FBgn0001234"	0.83	1.13	1.10	1.23	0.97	2.08	3.36	3.73	3.93	8.91	13.59	13.51	1.28	1.51	0.93
"FBgn0001235"	0.00	0.01	0.03	0.03	0.01	0.07	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0001247"	17.45	18.80	18.81	15.37	17.35	16.32	1.61	0.90	2.00	14.41	13.11	16.78	17.30	19.12	20.51
"FBgn0001248"	415.60	360.44	336.16	457.09	443.59	471.91	73.40	54.93	69.34	398.62	428.25	495.78	479.00	473.29	403.59
"FBgn0001250"	0.00	0.00	0.01	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.01
"FBgn0001253"	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0001254"	0.00	0.00	0.00	0.03	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0001255"	1.12	1.22	0.92	1.05	1.43	0.99	2.55	1.56	2.21	1.17	1.23	0.98	0.90	1.02	1.20
"FBgn0001256"	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00
"FBgn0001257"	0.09	0.08	0.00	0.02	0.00	0.05	0.17	0.03	0.17	0.92	0.15	0.00	0.18	0.08	0.06
"FBgn0001258"	0.12	0.10	0.21	0.05	0.08	0.00	0.18	0.12	0.63	0.47	0.35	0.25	0.00	0.12	0.12
"FBgn0001259"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0001263"	0.00	0.00	0.03	0.03	0.05	0.05	0.10	0.13	0.10	0.00	0.00	0.08	0.00	0.00	0.00
"FBgn0001269"	0.00	0.01	0.00	0.02	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.02	0.00
"FBgn0001276"	109.43	91.67	87.01	131.12	123.93	142.30	131.13	146.82	136.59	112.72	120.33	115.97	116.95	111.27	107.55
"FBgn0001280"	328.69	279.24	236.97	280.11	252.93	279.11	374.15	476.23	410.75	352.03	386.31	358.49	321.08	339.21	255.34
"FBgn0001281"	0.18	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.17	0.00	0.16	0.00	0.00
"FBgn0001285"	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0001291"	20.63	18.10	15.67	27.97	25.75	26.26	0.56	0.69	0.31	15.72	12.95	12.02	20.68	25.68	17.92
"FBgn0001296"	0.03	0.03	0.06	0.08	0.22	0.06	0.38	0.11	0.38	0.00	0.19	0.06	0.13	0.07	0.05
"FBgn0001297"	2.24	2.98	2.59	1.81	2.44	1.30	2.54	1.77	1.45	1.94	2.41	1.55	2.49	3.01	2.83
"FBgn0001301"	11.39	15.80	19.74	9.78	11.14	9.05	33.18	24.50	30.28	11.79	10.17	10.82	8.70	8.76	15.74
"FBgn0001308"	68.60	84.07	95.13	75.88	79.50	74.29	59.77	40.65	58.15	47.49	50.36	55.31	53.79	59.30	88.45
"FBgn0001311"	0.01	0.01	0.06	0.03	0.05	0.02	0.29	0.17	0.10	0.08	0.11	0.13	0.01	0.00	0.01
"FBgn0001313"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0001316"	15.09	20.38	21.49	12.17	14.81	10.14	24.87	16.74	22.37	10.49	9.59	10.58	11.60	14.22	19.30
"FBgn0001319"	0.02	0.02	0.02	0.00	0.00	0.00	0.04	0.03	0.03	0.03	0.02	0.00	0.00	0.00	0.00
"FBgn0001320"	0.04	0.06	0.14	0.78	0.45	1.43	0.28	0.33	0.32	0.07	0.19	0.07	0.18	0.08	0.18
"FBgn0001321"	0.14	0.22	0.14	0.13	0.16	0.11	0.22	0.14	0.14	0.12	0.11	0.10	0.15	0.16	0.04
"FBgn0001323"	0.00	0.00	0.00	0.01	0.00	0.12	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
"FBgn0001324"	1.97	4.04	4.11	1.97	2.08	1.57	0.35	0.37	0.29	1.33	1.59	1.42	1.17	2.64	2.44
"FBgn0001325"	0.06	0.05	0.03	0.56	0.31	1.53	0.03	0.06	0.06	0.08	0.06	0.03	0.00	0.00	0.06
"FBgn0001330"	14.49	15.94	22.13	13.52	15.23	14.93	20.95	16.32	20.57	11.89	10.12	11.75	10.11	9.33	13.12
"FBgn0001341"	36.16	42.87	52.18	31.24	35.89	32.91	71.10	50.82	58.46	34.92	26.56	29.64	31.40	21.89	42.29
"FBgn0001404"	38.04	46.88	50.51	45.09	46.34	44.25	59.44	44.57	54.95	32.18	30.16	34.59	34.85	34.54	55.22
"FBgn0001491"	170.79	160.33	142.82	123.70	122.67	121.60	199.29	264.42	222.48	163.30	177.75	143.20	137.08	162.64	144.79
"FBgn0001565"	153.30	160.32	174.61	169.80	160.09	173.34	228.15	214.16	218.12	151.42	141.25	140.79	137.18	129.10	151.13
"FBgn0001612"	42.21	49.61	50.47	43.17	43.66	40.58	29.56	22.20	28.55	32.83	31.54	39.19	35.33	40.63	51.20
"FBgn0001624"	19.64	27.29	28.18	19.13	20.54	16.89	43.38	34.71	38.12	22.61	18.09	13.98	12.50	13.54	22.47
"FBgn0001941"	216.23	183.82	182.47	222.49	213.36	216.48	234.46	257.66	227.18	227.21	217.65	216.47	203.65	153.23	194.05
"FBgn0001942"	1356.07	1262.60	1282.68	1537.28	1520.75	1582.60	1851.41	1849.99	1866.16	1453.31	1490.29	1545.03	1557.79	1296.12	1435.99
"FBgn0001961"	59.67	59.69	66.29	80.64	76.83	85.82	63.11	61.00	68.13	63.93	75.55	71.99	73.28	73.28	61.56
"FBgn0001965"	3.79	6.46	8.12	2.19	2.56	1.63	0.45	0.25	0.45	2.29	1.78	2.38	2.40	4.55	4.76
"FBgn0001967"	0.00	0.00	0.00	0.00	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0001970"	26.27	25.71	25.94	25.76	23.65	25.44	7.18	5.80	6.75	15.13	20.70	20.94	26.43	28.46	25.19
"FBgn0001977"	47.53	40.37	35.70	61.15	59.45	61.77	54.65	67.33	54.38	64.49	61.74	63.89	57.72	59.54	44.89
"FBgn0001978"	50.58	62.29	76.69	55.33	58.56	56.03	80.11	61.18	76.95	38.45	37.69	40.19	43.66	46.72	65.12
"FBgn0001981"	0.75	0.53	0.74	0.84	1.04	1.10	0.82	0.82	0.86	0.92	0.66	0.94	1.80	0.54	1.07
"FBgn0001983"	0.07	0.03	0.03	0.10	0.05	0.00	0.03	0.03	0.07	0.06	0.03	0.03	0.06	0.10	0.02
"FBgn0001986"	24.94	27.85	38.84	30.57	30.40	32.53	48.00	36.67	46.13	21.38	21.70	22.63	22.47	17.07	29.13
"FBgn0001987"	0.38	0.58	0.77	1.20	1.58	1.31	1.30	1.74	1.48	0.61	0.78	0.60	2.66	2.33	3.39
"FBgn0001989"	108.07	93.08	85.21	103.45	101.05	109.33	86.45	108.55	97.42	121.55	145.08	136.24	140.47	129.92	92.21
"FBgn0001990"	60.46	58.15	52.37	62.83	66.99	66.60	80.93	86.99	79.74	61.56	59.23	67.96	65.39	51.68	67.48
"FBgn0001991"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.01	0.00
"FBgn0001992"	0.00	0.02	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00
"FBgn0001994"	31.61	39.09	47.40	33.72	36.65	33.21	62.12	45.40	56.62	23.92	22.93	23.78	28.71	32.92	43.92
"FBgn0001995"	115.20	96.77	80.11	111.82	107.49	112.37	116.50	153.20	128.39	129.76	132.16	128.82	142.33	137.61	99.47
"FBgn0002021"	57.53	53.90	49.54	53.63	49.30	48.64	29.46	29.15	31.07	52.27	60.23	57.48	55.31	65.87	52.24
"FBgn0002022"	72.67	72.37	75.82	83.76	80.35	89.20	117.05	106.94	111.25	75.38	78.95	73.22	76.89	71.79	79.74
"FBgn0002023"	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0002031"	263.98	241.21	229.13	310.00	296.88	340.27	152.54	158.24	155.50	308.31	349.90	320.01	346.91	332.64	257.45
"FBgn0002036"	17.43	17.71	15.01	20.62	19.72	21.33	4.13	3.77	4.57	15.87	17.97	19.04	18.69	19.47	18.80
"FBgn0002044"	63.71	84.39	92.59	41.56	50.62	35.10	62.48	44.05	57.75	51.41	43.12	51.27	60.34	68.83	86.48
"FBgn0002069"	104.45	102.78	107.10	133.52	119.15	133.44	12.57	9.18	12.49	89.24	87.12	90.83	88.27	116.61	95.19
"FBgn0002121"	92.16	108.99	111.72	67.33	73.61	60.14	191.26	162.03	177.03	88.28	65.16	84.65	2.21	1.46	7.42
"FBgn0002174"	25.12	28.43	30.62	28.05	28.78	32.43	5.85	5.44	6.25	20.73	23.45	19.41	24.51	29.27	25.50
"FBgn0002183"	90.23	104.67	110.65	114.49	115.74	114.97	17.75	11.24	17.61	63.58	68.31	77.24	73.19	82.82	101.57
"FBgn0002283"	129.04	119.74	103.90	154.02	143.49	147.92	16.32	9.90	16.11	132.47	133.81	142.44	123.83	139.17	101.27
"FBgn0002284"	614.01	546.49	505.77	626.65	616.16	670.14	779.04	898.94	819.73	660.85	720.83	743.84	687.10	640.70	536.21
"FBgn0002306"	0.00	0.02	0.00	0.01	0.02	0.02	0.00	0.00	0.00	0.03	0.01	0.00	0.01	0.00	0.00
"FBgn0002354"	32.31	23.70	18.06	27.99	24.65	28.07	6.50	8.68	9.08	50.55	48.18	43.22	59.65	60.30	44.46
"FBgn0002413"	146.00	171.29	200.20	189.58	195.19	190.90	228.05	190.55	213.74	128.37	123.87	125.50	132.90	116.74	187.57
"FBgn0002431"	19.54	39.76	53.67	14.65	18.80	11.74	57.07	36.32	52.10	12.34	10.01	12.22	12.89	15.79	33.12
"FBgn0002440"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0002441"	14.17	17.19	21.61	14.55	15.43	11.74	18.18	12.17	17.91	10.24	9.84	11.46	12.22	14.50	19.46
"FBgn0002466"	25.55	40.62	48.12	18.71	22.40	17.96	73.25	50.68	65.32	17.84	16.07	15.89	15.13	15.95	34.94
"FBgn0002521"	172.91	166.80	143.81	147.48	147.63	133.02	217.37	261.73	225.85	169.82	142.52	150.58	152.91	150.66	198.70
"FBgn0002522"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0002524"	89.53	94.47	94.61	100.95	102.87	100.49	78.68	65.77	72.58	98.13	92.70	97.29	96.97	65.85	109.69
"FBgn0002525"	84.35	100.70	108.30	96.51	102.12	96.57	144.99	125.14	140.18	75.71	80.82	78.93	81.40	76.31	103.13
"FBgn0002526"	0.00	0.00	0.02	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00
"FBgn0002531"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0002533"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0002534"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0002535"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0002542"	50.05	59.08	58.10	59.48	58.69	59.47	3.41	1.93	3.47	35.70	35.59	40.88	43.14	55.50	61.59
"FBgn0002543"	0.00	0.00	0.00	0.00	0.00	0.06	0.02	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.01
"FBgn0002552"	28.25	40.23	46.43	27.43	28.38	22.16	10.86	6.12	10.90	21.52	19.87	21.28	23.72	32.95	35.97
"FBgn0002561"	1.57	1.46	0.98	1.85	2.75	3.28	1.72	2.26	1.83	3.01	3.69	4.43	6.12	2.04	3.30
"FBgn0002562"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0002563"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0002564"	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.03	0.00	0.00
"FBgn0002565"	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0002566"	56.88	55.00	49.62	49.66	52.81	47.40	83.90	94.04	82.27	70.56	55.60	60.56	58.16	57.54	71.49
"FBgn0002567"	119.07	122.58	133.10	144.79	137.21	145.66	126.01	119.84	133.47	103.41	110.70	102.68	95.16	94.74	106.71
"FBgn0002569"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0002570"	0.12	0.03	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.04	0.11	0.00	0.00	0.00
"FBgn0002571"	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.03
"FBgn0002573"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0002576"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00
"FBgn0002577"	0.17	0.20	0.18	0.16	0.16	0.07	0.36	0.18	0.22	0.11	0.26	0.26	0.63	0.95	1.17
"FBgn0002578"	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.00
